Name,Gender,Born_2013,Freq_2013,Freq_2013_Procent,Born_2014,Freq_2014,Freq_2014_Procent,Born_2015,Freq_2015,Freq_2015_Procent,Born_2016,Freq_2016,Freq_2016_Procent,Born_2017,Freq_2017,Freq_2017_Procent,Born_2018,Freq_2018,Freq_2018_Procent,Born_2019,Freq_2019,Freq_2019_Procent
LEEN,F,55873,1,"0,001789773236",56970,1,"0,001755309812",58205,2,"0,003436130917",61614,5,"0,00811503879",61397,7,"0,01140120853",61476,9,"0,01463985946",61167,1,"0,001634868475"
LEIN,F,55873,NA,NA,56970,1,"0,001755309812",58205,1,"0,001718065458",61614,1,"0,001623007758",61397,2,"0,003257488151",61476,2,"0,003253302102",61167,2,"0,00326973695"
LEN,F,55873,2,"0,003579546471",56970,2,"0,003510619624",58205,2,"0,003436130917",61614,2,"0,003246015516",61397,2,"0,003257488151",61476,2,"0,003253302102",61167,3,"0,004904605424"
LIEN,F,55873,3,"0,005369319707",56970,3,"0,005265929437",58205,3,"0,005154196375",61614,3,"0,004869023274",61397,4,"0,006514976302",61476,4,"0,006506604203",61167,4,"0,006539473899"
LIIN,F,55873,NA,NA,56970,NA,NA,58205,NA,NA,61614,NA,NA,61397,1,"0,001628744075",61476,NA,NA,61167,NA,NA
LIN,F,55873,1,"0,001789773236",56970,1,"0,001755309812",58205,1,"0,001718065458",61614,2,"0,003246015516",61397,2,"0,003257488151",61476,2,"0,003253302102",61167,2,"0,00326973695"
LINH,F,55873,5,"0,008948866179",56970,5,"0,008776549061",58205,5,"0,008590327291",61614,6,"0,009738046548",61397,5,"0,008143720377",61476,5,"0,008133255254",61167,6,"0,009809210849"
LINN,F,55873,2,"0,003579546471",56970,2,"0,003510619624",58205,2,"0,003436130917",61614,2,"0,003246015516",61397,2,"0,003257488151",61476,2,"0,003253302102",61167,2,"0,00326973695"
MARI,F,55873,1,"0,001789773236",56970,1,"0,001755309812",58205,1,"0,001718065458",61614,1,"0,001623007758",61397,1,"0,001628744075",61476,1,"0,001626651051",61167,2,"0,00326973695"
MARIH,F,55873,1,"0,001789773236",56970,1,"0,001755309812",58205,1,"0,001718065458",61614,1,"0,001623007758",61397,1,"0,001628744075",61476,1,"0,001626651051",61167,1,"0,001634868475"
MARII,F,55873,NA,NA,56970,NA,NA,58205,1,"0,001718065458",61614,NA,NA,61397,NA,NA,61476,NA,NA,61167,1,"0,001634868475"
MARRI,F,55873,4,"0,007159092943",56970,4,"0,007021239249",58205,3,"0,005154196375",61614,1,"0,001623007758",61397,3,"0,004886232226",61476,3,"0,004879953152",61167,3,"0,004904605424"
MAARI,F,55873,NA,NA,56970,NA,NA,58205,1,"0,001718065458",61614,1,"0,001623007758",61397,1,"0,001628744075",61476,1,"0,001626651051",61167,1,"0,001634868475"
NOHRA,F,55873,2,"0,003579546471",56970,2,"0,003510619624",58205,2,"0,003436130917",61614,2,"0,003246015516",61397,2,"0,003257488151",61476,3,"0,004879953152",61167,3,"0,004904605424"
NOORA,F,55873,15,"0,02684659854",56970,14,"0,02457433737",58205,16,"0,02748904733",61614,23,"0,03732917843",61397,26,"0,04234734596",61476,32,"0,05205283363",61167,51,"0,08337829222"
NOOHRA,F,55873,NA,NA,56970,NA,NA,58205,1,"0,001718065458",61614,1,"0,001623007758",61397,1,"0,001628744075",61476,1,"0,001626651051",61167,1,"0,001634868475"
NOORAH,F,55873,NA,NA,56970,1,"0,001755309812",58205,1,"0,001718065458",61614,1,"0,001623007758",61397,1,"0,001628744075",61476,1,"0,001626651051",61167,1,"0,001634868475"
NORA,F,55873,1198,"2,144148336",56970,13,"0,02281902756",58205,1449,"2,489476849",61614,1618,"2,626026552",61397,183,"0,2980601658",61476,214,"0,3481033249",61167,2432,"3,976000131"
NORAH,F,55873,83,"0,1485511786",56970,1,"0,001755309812",58205,126,"0,2164762477",61614,147,"0,2385821404",61397,163,"0,2654852843",61476,195,"0,3171969549",61167,23,"0,03760197492"
NORRA,F,55873,2,"0,003579546471",56970,2,"0,003510619624",58205,3,"0,005154196375",61614,4,"0,006492031032",61397,4,"0,006514976302",61476,4,"0,006506604203",61167,5,"0,008174342374"
NORAA,F,55873,1,"0,001789773236",56970,1,"0,001755309812",58205,1,"0,001718065458",61614,1,"0,001623007758",61397,1,"0,001628744075",61476,1,"0,001626651051",61167,1,"0,001634868475"
SAHNA,F,55873,1,"0,001789773236",56970,1,"0,001755309812",58205,1,"0,001718065458",61614,2,"0,003246015516",61397,2,"0,003257488151",61476,2,"0,003253302102",61167,2,"0,00326973695"
SANA,F,55873,2,"0,003579546471",56970,2,"0,003510619624",58205,2,"0,003436130917",61614,2,"0,003246015516",61397,2,"0,003257488151",61476,2,"0,003253302102",61167,3,"0,004904605424"
SANAH,F,55873,1,"0,001789773236",56970,1,"0,001755309812",58205,1,"0,001718065458",61614,1,"0,001623007758",61397,1,"0,001628744075",61476,1,"0,001626651051",61167,1,"0,001634868475"
SANHA,F,55873,NA,NA,56970,NA,NA,58205,NA,NA,61614,1,"0,001623007758",61397,1,"0,001628744075",61476,1,"0,001626651051",61167,1,"0,001634868475"
SANAA,F,55873,1,"0,001789773236",56970,1,"0,001755309812",58205,1,"0,001718065458",61614,1,"0,001623007758",61397,1,"0,001628744075",61476,1,"0,001626651051",61167,1,"0,001634868475"
SAANA,F,55873,NA,NA,56970,2,"0,003510619624",58205,2,"0,003436130917",61614,2,"0,003246015516",61397,2,"0,003257488151",61476,2,"0,003253302102",61167,5,"0,008174342374"
VILDE,F,55873,1,"0,001789773236",56970,1,"0,001755309812",58205,1,"0,001718065458",61614,2,"0,003246015516",61397,2,"0,003257488151",61476,3,"0,004879953152",61167,4,"0,006539473899"
WILDE,F,55873,2,"0,003579546471",56970,3,"0,005265929437",58205,7,"0,01202645821",61614,1,"0,001623007758",61397,1,"0,001628744075",61476,2,"0,003253302102",61167,2,"0,00326973695"
ZAHNA,F,55873,1,"0,001789773236",56970,1,"0,001755309812",58205,1,"0,001718065458",61614,1,"0,001623007758",61397,1,"0,001628744075",61476,NA,NA,61167,1,"0,001634868475"
ZANA,F,55873,3,"0,005369319707",56970,3,"0,005265929437",58205,4,"0,006872261833",61614,4,"0,006492031032",61397,4,"0,006514976302",61476,4,"0,006506604203",61167,4,"0,006539473899"
ESKIL,M,55873,266,"0,4760796807",56970,274,"0,4809548885",58205,282,"0,4844944592",61614,3,"0,004869023274",61397,331,"0,539114289",61476,348,"0,5660745657",61167,362,"0,5918223879"
ESKILD,M,55873,587,"1,050596889",56970,6,"0,01053185887",58205,643,"1,10471609",61614,677,"1,098776252",61397,733,"1,193869407",61476,789,"1,283427679",61167,843,"1,378194124"
EVEN,M,55873,49,"0,08769888855",56970,45,"0,07898894155",58205,44,"0,07559488016",61614,46,"0,07465835687",61397,52,"0,08469469192",61476,57,"0,0927191099",61167,61,"0,09972697696"
ICCHAK,M,55873,1,"0,001789773236",56970,1,"0,001755309812",58205,1,"0,001718065458",61614,1,"0,001623007758",61397,1,"0,001628744075",61476,1,"0,001626651051",61167,1,"0,001634868475"
IISAAQ,M,55873,NA,NA,56970,1,"0,001755309812",58205,NA,NA,61614,NA,NA,61397,NA,NA,61476,NA,NA,61167,NA,NA
ISAC,M,55873,97,"0,1736080039",56970,1,"0,001755309812",58205,1,"0,001718065458",61614,113,"0,1833998767",61397,117,"0,1905630568",61476,119,"0,193571475",61167,128,"0,2092631648"
ISACC,M,55873,NA,NA,56970,NA,NA,58205,NA,NA,61614,NA,Na,61397,NA,NA,61476,1,"0,001626651051",61167,1,"0,001634868475"
ISACH,M,55873,1,"0,001789773236",56970,NA,NA,58205,NA,NA,61614,1,"0,001623007758",61397,1,"0,001628744075",61476,1,"0,001626651051",61167,1,"0,001634868475"
ISACK,M,55873,5,"0,008948866179",56970,6,"0,01053185887",58205,6,"0,01030839275",61614,9,"0,01460706982",61397,9,"0,01465869668",61476,8,"0,01301320841",61167,1,"0,001634868475"
ISAK,M,55873,656,"1,174091243",56970,713,"1,251535896",58205,768,"1,319474272",61614,833,"1,351965462",61397,9,"0,01465869668",61476,989,"1,608757889",61167,1,"0,001634868475"
ISAQ,M,55873,3,"0,005369319707",56970,5,"0,008776549061",58205,5,"0,008590327291",61614,6,"0,009738046548",61397,7,"0,01140120853",61476,8,"0,01301320841",61167,8,"0,0130789478"
ISAQH,M,55873,NA,NA,56970,NA,NA,58205,NA,NA,61614,NA,NA,61397,1,"0,001628744075",61476,1,"0,001626651051",61167,1,"0,001634868475"
ISHAC,M,55873,3,"0,005369319707",56970,2,"0,003510619624",58205,2,"0,003436130917",61614,2,"0,003246015516",61397,2,"0,003257488151",61476,2,"0,003253302102",61167,2,"0,00326973695"
ISHAK,M,55873,79,"0,1413920856",56970,84,"0,1474460242",58205,94,"0,1614981531",61614,1,"0,001623007758",61397,123,"0,2003355213",61476,135,"0,2195978919",61167,157,"0,2566743505"
ISHAQ,M,55873,34,"0,06085229001",56970,36,"0,06319115324",58205,36,"0,0618503565",61614,4,"0,006492031032",61397,48,"0,07817971562",61476,53,"0,08621250569",61167,57,"0,09318750307"
ISHAAC,M,55873,2,"0,003579546471",56970,2,"0,003510619624",58205,2,"0,003436130917",61614,2,"0,003246015516",61397,2,"0,003257488151",61476,3,"0,004879953152",61167,3,"0,004904605424"
ISHAAK,M,55873,1,"0,001789773236",56970,1,"0,001755309812",58205,1,"0,001718065458",61614,1,"0,001623007758",61397,2,"0,003257488151",61476,3,"0,004879953152",61167,5,"0,008174342374"
ISHAAQ,M,55873,1,"0,001789773236",56970,2,"0,003510619624",58205,3,"0,005154196375",61614,5,"0,00811503879",61397,6,"0,009772464453",61476,8,"0,01301320841",61167,1,"0,001634868475"
ISSAC,M,55873,6,"0,01073863941",56970,6,"0,01053185887",58205,6,"0,01030839275",61614,6,"0,009738046548",61397,7,"0,01140120853",61476,8,"0,01301320841",61167,7,"0,01144407932"
ISSACK,M,55873,NA,NA,56970,NA,#VALUE!,58205,NA,#VALUE!,61614,1,"0,001623007758",61397,1,"0,001628744075",61476,1,"0,001626651051",61167,2,"0,00326973695"
ISSAK,M,55873,3,"0,005369319707",56970,3,"0,005265929437",58205,3,"0,005154196375",61614,5,"0,00811503879",61397,7,"0,01140120853",61476,7,"0,01138655736",61167,9,"0,01471381627"
ISSAQ,M,55873,1,"0,001789773236",56970,1,"0,001755309812",58205,1,"0,001718065458",61614,1,"0,001623007758",61397,1,"0,001628744075",61476,1,"0,001626651051",61167,1,"0,001634868475"
ISSHAK,M,55873,1,"0,001789773236",56970,1,"0,001755309812",58205,1,"0,001718065458",61614,1,"0,001623007758",61397,1,"0,001628744075",61476,1,"0,001626651051",61167,1,"0,001634868475"
ISZAK,M,55873,1,"0,001789773236",56970,1,"0,001755309812",58205,1,"0,001718065458",61614,1,"0,001623007758",61397,1,"0,001628744075",61476,1,"0,001626651051",61167,1,"0,001634868475"
ISAAC,M,55873,231,"0,4134376175",56970,255,"0,4476040021",58205,288,"0,494802852",61614,3,"0,004869023274",61397,34,"0,05537729857",61476,383,"0,6230073525",61167,43,"0,07029934442"
ISAACK,M,55873,3,"0,005369319707",56970,3,"0,005265929437",58205,3,"0,005154196375",61614,3,"0,004869023274",61397,3,"0,004886232226",61476,3,"0,004879953152",61167,3,"0,004904605424"
ISAAK,M,55873,19,"0,03400569148",56970,22,"0,03861681587",58205,25,"0,04295163646",61614,29,"0,04706722498",61397,35,"0,05700604264",61476,43,"0,06994599519",61167,48,"0,07847368679"
ISAAQ,M,55873,4,"0,007159092943",56970,6,"0,01053185887",58205,7,"0,01202645821",61614,9,"0,01460706982",61397,9,"0,01465869668",61476,8,"0,01301320841",61167,8,"0,0130789478"
IZAC,M,55873,2,"0,003579546471",56970,2,"0,003510619624",58205,3,"0,005154196375",61614,3,"0,004869023274",61397,3,"0,004886232226",61476,3,"0,004879953152",61167,3,"0,004904605424"
IZACK,M,55873,1,"0,001789773236",56970,1,"0,001755309812",58205,1,"0,001718065458",61614,1,"0,001623007758",61397,1,"0,001628744075",61476,1,"0,001626651051",61167,NA,NA
IZAK,M,55873,14,"0,0250568253",56970,14,"0,02457433737",58205,15,"0,02577098187",61614,15,"0,02434511637",61397,15,"0,02443116113",61476,18,"0,02927971891",61167,19,"0,03106250102"
IZAZ,M,55873,1,"0,001789773236",56970,1,"0,001755309812",58205,1,"0,001718065458",61614,1,"0,001623007758",61397,1,"0,001628744075",61476,1,"0,001626651051",61167,2,"0,00326973695"
IZHAK,M,55873,NA,NA,56970,NA,NA,58205,NA,NA,61614,NA,NA,61397,NA,NA,61476,1,"0,001626651051",61167,1,"0,001634868475"
IZSAK,M,55873,NA,NA,56970,NA,NA,58205,NA,NA,61614,NA,NA,61397,NA,NA,61476,NA,NA,61167,1,"0,001634868475"
IZZAK,M,55873,NA,NA,56970,NA,NA,58205,1,"0,001718065458",61614,1,"0,001623007758",61397,1,"0,001628744075",61476,1,"0,001626651051",61167,1,"0,001634868475"
IZAAK,M,55873,4,"0,007159092943",56970,4,"0,007021239249",58205,4,"0,006872261833",61614,4,"0,006492031032",61397,4,"0,006514976302",61476,4,"0,006506604203",61167,4,"0,006539473899"
VILIAM,M,55873,9,"0,01610795912",56970,1,"0,001755309812",58205,11,"0,01889872004",61614,1,"0,001623007758",61397,11,"0,01791618483",61476,11,"0,01789316156",61167,11,"0,01798355322"
VILLIAM,M,55873,263,"0,470710361",56970,264,"0,4634017904",58205,269,"0,4621596083",61614,281,"0,45606518",61397,289,"0,4707070378",61476,295,"0,47986206",61167,299,"0,488825674"
WHILLIAM,M,55873,1,"0,001789773236",56970,1,"0,001755309812",58205,1,"0,001718065458",61614,1,"0,001623007758",61397,2,"0,003257488151",61476,2,"0,003253302102",61167,3,"0,004904605424"
WIILLIAM,M,55873,NA,NA,56970,NA,NA,58205,NA,NA,61614,1,"0,001623007758",61397,2,"0,003257488151",61476,2,"0,003253302102",61167,2,"0,00326973695"
WILIAM,M,55873,8,"0,01431818589",56970,1,"0,001755309812",58205,11,"0,01889872004",61614,12,"0,0194760931",61397,14,"0,02280241706",61476,13,"0,02114646366",61167,12,"0,0196184217"
WILLIAM,M,55873,8618,"15,42426575",56970,92,"0,1614885027",58205,9841,"16,90748218",61614,1,"0,001623007758",61397,1,"0,001628744075",61476,15,"0,02439976576",61167,12,"0,0196184217"
WILLIAMM,M,55873,3,"0,005369319707",56970,4,"0,007021239249",58205,4,"0,006872261833",61614,3,"0,004869023274",61397,4,"0,006514976302",61476,4,"0,006506604203",61167,4,"0,006539473899"